Date,Session,SpotPrice,FuturePrice
0,0,2849,2849
0,0,2855,2855
0,0,2831,2831
0,0,2826,2826
0,0,2838,2838
0,0,2842,2842
0,0,2849,2849
0,0,2818,2818
0,0,2767,2767
0,0,2784,2784
0,0,2789,2789
0,0,2789,2789
0,0,2813,2813
0,0,2816,2816
0,0,2779,2779
0,0,2789,2789
0,0,2781,2781
0,0,2806,2806
0,0,2788,2788
0,0,2787,2787
0,0,2795,2795
0,0,2791,2791
0,0,2801,2801
0,0,2804,2804
0,0,2774,2774
0,0,2766,2766
0,0,2760,2760
0,0,2755,2755
0,0,2762,2762
0,0,2786,2786
0,0,2786,2786
0,0,2749,2749
0,0,2724,2724
0,0,2648,2648
0,0,2640,2640
0,0,2585,2585
0,0,2498,2498
0,0,2584,2584
0,0,2655,2655
0,0,2640,2640
0,0,2658,2658
0,0,2634,2634
0,0,2622,2622
0,0,2609,2609
0,0,2629,2629
0,0,2622,2622
0,0,2584,2584
0,0,2531,2531
0,0,2496,2496
0,0,2496,2496
0,0,2482,2482
0,0,2393,2393
0,0,2349,2349
0,0,2293,2293
0,0,2380,2380
0,0,2508,2508
0,0,2533,2533
0,0,2526,2526
0,0,2551,2551
0,0,2465,2465
0,0,2354,2354
0,0,2481,2481
0,0,2450,2450
0,0,2501,2501
0,0,2553,2553
0,0,2610,2610
0,0,2567,2567
0,0,2570,2570
0,0,2564,2564
0,0,2561,2561
0,0,2514,2514
0,0,2494,2494
0,0,2554,2554
0,0,2557,2557
0,0,2566,2566
0,0,2544,2544
0,0,2542,2542
0,0,2538,2538
0,0,2547,2547
0,0,2556,2556
0,0,2585,2585
0,0,2589,2589
0,0,2618,2618
0,0,2613,2613
0,0,2597,2597
0,0,2595,2595
0,0,2639,2639
0,0,2660,2660
0,0,2642,2642
0,0,2637,2637
0,0,2650,2650
0,0,2639,2639
0,0,2626,2626
0,0,2651,2651
0,0,2645,2645
0,0,2644,2644
0,0,2651,2651
0,0,2670,2670
0,0,2660,2660
0,0,2663,2663
0,0,2684,2684
0,0,2674,2674
0,0,2670,2670
0,0,2687,2687
0,0,2680,2680
0,0,2692,2692
0,0,2678,2678
0,0,2669,2669
0,0,2661,2661
0,0,2651,2651
0,0,2667,2667
0,0,2653,2653
0,0,2637,2637
0,0,2615,2615
0,0,2644,2644
0,0,2637,2637
0,0,2628,2628
0,0,2602,2602
0,0,2646,2646
0,0,2722,2722
0,0,2728,2728
0,0,2739,2739
0,0,2721,2721
0,0,2730,2730
0,0,2718,2718
0,0,2711,2711
0,0,2726,2726
0,0,2734,2734
0,0,2716,2716
0,0,2717,2717
0,0,2734,2734
0,0,2766,2766
0,0,2811,2811
0,0,2798,2798
0,0,2779,2779
0,0,2750,2750
0,0,2734,2734
0,0,2703,2703
0,0,2673,2673
0,0,2694,2694
0,0,2675,2675
0,0,2637,2637
0,0,2609,2609
0,0,2625,2625
0,0,2607,2607
0,0,2573,2573
0,0,2514,2514
0,0,2416,2416
0,0,2368,2368
0,0,2436,2436
0,0,2383,2383
0,0,2365,2365
0,0,2299,2299
0,0,2316,2316
0,0,2419,2419
0,0,2379,2379
0,0,2338,2338
0,0,2325,2325
0,0,2291,2291
0,0,2220,2220
0,0,2122,2122
0,0,2172,2172
0,0,2247,2247
0,0,2306,2306
0,0,2245,2245
0,0,2310,2310
0,0,2312,2312
0,0,2272,2272
0,0,2225,2225
0,0,2161,2161
0,0,2127,2127
0,0,2166,2166
0,0,2228,2228
0,0,2192,2192
0,0,2217,2217
0,0,2201,2201
0,0,2181,2181
0,0,2139,2139
0,0,2104,2104
0,0,2073,2073
0,0,2042,2042
0,0,2067,2067
0,0,2005,2005
0,0,1916,1916
0,0,1904,1904
0,0,1873,1873
0,0,1857,1857
0,0,2086,2086
0,0,2089,2089
0,0,2067,2067
0,0,2107,2107
0,0,2136,2136
0,0,2123,2123
0,0,2037,2037
0,0,2037,2037
0,0,2058,2058
0,0,2098,2098
0,0,2116,2116
0,0,2091,2091
0,0,2129,2129
0,0,2166,2166
0,0,2171,2171
0,0,2151,2151
0,0,2172,2172
0,0,2168,2168
0,0,2174,2174
0,0,2158,2158
0,0,2147,2147
0,0,2099,2099
0,0,2088,2088
0,0,2093,2093
0,0,2057,2057
0,0,2029,2029
0,0,1999,1999
0,0,1992,1992
0,0,2062,2062
0,0,2052,2052
0,0,2018,2018
0,0,1987,1987
0,0,2008,2008
0,0,1981,1981
0,0,1930,1930
0,0,1970,1970
0,0,1989,1989
0,0,1978,1978
0,0,1953,1953
0,0,1928,1928
0,0,1929,1929
0,0,1946,1946
0,0,1888,1888
0,0,1922,1922
0,0,1956,1956
0,0,2018,2018
0,0,2021,2021
0,0,2026,2026
0,0,2011,2011
0,0,2047,2047
0,0,2035,2035
0,0,2020,2020
1,1,2036,
1,2,2070,2020
1,3,2053,2026
1,4,2029,2036
1,5,1984,2036
1,6,1981,2015
1,7,1977,2011
1,8,1969,2017
2,1,1985,1974
2,2,1977,1985
2,3,1922,1965
2,4,1929,1956
2,5,1958,1956
2,6,1971,1958
2,7,1970,1961
2,8,1926,1958
3,1,2004,1949
3,2,2036,1957
3,3,1998,1961
3,4,1990,1969
3,5,1976,1976
3,6,1995,1976
3,7,2009,1985
3,8,2009,1988
4,1,2032,2003
4,2,2027,2003
4,3,2027,2009
4,4,2016,2003
4,5,2043,2003
4,6,2089,2019
4,7,2088,2023
4,8,2085,2023
5,1,2094,2049
5,2,2158,2056
5,3,2157,2070
5,4,2177,2072
5,5,2210,2067
5,6,2288,2077
5,7,2273,2074
5,8,2276,2083
6,1,2246,2112
6,2,2219,2110
6,3,2278,2098
6,4,2260,2118
6,5,2256,2118
6,6,2280,2118
6,7,2246,2119
6,8,2260,2117
7,1,2269,2138
7,2,2321,2148
7,3,2313,2158
